Marjeta na Dravskem polju;2206
Maribor;2000
Marezige;6273
Malečnik;2229
Mala Nedelja;9243
Makole;2321
Majšperk;2322
Mačkovci;9202
Lukovica;1225
Luče;3334
Lovrenc na Pohorju;2344
Lovrenc na Dravskem polju;2324
Loški Potok;1318
Lokev;6219
Loka pri Žusmu;3223
Loka pri Zidanem Mostu;1434
Logatec;1370
Log pri Brezovici;1358
Log pod Mangartom;5231
Loče;3215
Ljutomer;9240
Ljubno ob Savinji;3333
Ljubljana - Šmartno;1211
Ljubljana - Šiška;1107
Ljubljana - Polje;1260
Ljubljana - Nove Jarše;1122
Ljubljana - Ljubljana p.p.;1001
Ljubljana - Koseze (Koseze, Ljubljana);1118
Ljubljana - Dravlje;1117
Ljubljana - Dobrunje;1261
Ljubljana - Črnuče;1231
Ljubljana - Brod (Brod, Ljubljana);1133
Ljubljana - Bežigrad (Četrtna skupnost Bežigrad);1113
Ljubljana;1000
Ljubečna;3202
Litija;1270
Limbuš;2341
Libeliče;2372
Leskovec pri Krškem;8273
Lesično;3261
Lesce;4248
Lendava/Lendva;9220
Lenart v Slovenskih goricah;2230
Laze v Tuhinju;1219
Laško;3270
Laporje;2318
Kuzma;9263
Krško;8270
Krška vas;8262
Kropa;4245
Krmelj;8296
Krka;1301
Križevci pri Ljutomeru;9242
Križevci;9206
Križe;4294
Kresnice;1281
Kranjska Gora;4280
Kranj;4000
Kozje;3260
Kozina;6240
Kotlje;2394
Košana;6256
Kostanjevica na Krki;8311
Kostanjevica na Krasu;5296
Koprivnica, Krško - Koprivnica;8282
Koper - Koper/Capodistria;6000
Komenda;1218
Komen;6223
Kojsko;5211
Kog;2276
Kočevska Reka;1338
Kočevje;1330
Kobilje;9227
Kobarid;5222
Knežak;6253
Kisovec;1412
Kidričevo;2325
Kapla;2362
Kapele;8258
Kanal;5213
Kamnik;1240
Kamnica;2351
Kamna Gorica;4246
Kalobje;3233
Kal nad Kanalom;5214
Juršinci;2256
Jurovski Dol;2223
Jurklošter;3273
Jesenice;4270
Jesenice;8261
Jelšane;6254
Jarenina;2221
Jakobski Dol;2222
Jagodje;6311
Izola/Isola;6310
Izlake;1411
Ivanjkovci;2259
Ivančna Gorica;1295
Ilirska Bistrica;6250
Ig;1292
Idrija;5280
Hrušica;4276
Hruševje;6225
Hrastnik;1430
Hotedršica;1372
Horjul;1354
Hodoš/Hodos;9205
Hoče;2311
Hinje;8362
Hajdina;2288
Grosuplje;1290
Grobelno;3231
Griže;3302
Grgar;5251
Grahovo ob Bači;5242
Grahovo;1384
Gradac;8332
Grad;9264
Gračišče;6272
Gozd Martuljek;4282
Gornji Grad;3342
Gornja Radgona;9250
Gorišnica;2272
Gorica pri Slivnici;3263
Gorenja vas, Gorenja_vas - Poljane;4224
Gomilsko;3303
Golnik;4204
Godovič;5275
Globoko;8254
Gabrovka;1274
Frankolovo;3213
Fram;2313
Fokovci;9208
Fala;2343
Dvor;8361
Dutovlje;6221
Duplje;4203
Dravograd;2370
Dramlje;3222
Dragatuš;8343
Draga;1319
Dornberk;5294
Dornava;2252
Domžale;1230
Dolenjske Toplice;8350
Dolenja vas;1331
Dole pri Litiji;1273
Dol pri Ljubljani;1262
Dol pri Hrastniku;1431
Dobrovo v Brdih;5212
Dobrovnik/Dobronak;9223
Dobrova, Polhov Gradec;1356
Dobrnič;8211
Dobrna;3204
Dobravlje;5263
Dobovec, Trbovlje;1423
Dobova;8257
Dobje pri Planini;3224
Dob;1233
Divača;6215
Destrnik;2253
Deskle;5210
Dekani;6271
Črnomelj;8340
Črniče;5262
Črni Vrh nad Idrijo;5274
Črni Kal;6275
Črna na Koroškem;2393
Črenšovci;9232
Čepovan;5253
Čemšenik;1413
Čatež ob Savi;8251
Col;5273
Cirkulane;2282
Cirkovce;2326
Ceršak;2215
Cerkvenjak;2236
Cerkno;5282
Cerknica;1380
Cerklje ob Krki;8263
Cerklje na Gorenjskem;4207
Celje;3000
Cankova;9261
Bučka;8276
Buče;3255
Brusnice;8321
Brnik aerodrom;4210
